thumb,index,middle,label
0,77,72,0
0,78,71,0
0,77,69,0
0,78,68,0
0,79,68,0
0,79,67,0
0,78,70,0
0,78,71,0
0,78,70,0
0,77,67,0
0,79,69,0
0,79,76,0
0,80,71,0
0,80,68,0
0,80,69,0
0,78,73,0
0,80,75,0
0,79,70,0
0,79,75,0
0,79,71,0
0,78,75,0
0,79,74,0
0,80,73,0
0,78,71,0
0,76,73,0
0,79,75,0
0,78,75,0
0,79,74,0
0,78,73,0
0,78,73,0
0,80,73,0
0,78,75,0
0,79,71,0
0,80,76,0
0,78,80,0
0,79,74,0
0,78,74,0
0,79,74,0
0,80,73,0
0,77,75,0
0,80,75,0
0,80,73,0
0,80,77,0
0,80,66,0
0,80,75,0
0,78,94,0
0,77,77,0
0,80,77,0
0,79,73,0
0,79,71,0
0,80,77,0
0,80,75,0
0,80,74,0
0,80,80,0
0,80,79,0
0,79,77,0
0,80,77,0
0,79,75,0
0,79,76,0
0,80,74,0
0,80,73,0
0,80,75,0
0,80,77,0
0,80,79,0
0,80,74,0
0,80,76,0
0,80,75,0
0,80,80,0
0,80,77,0
0,80,78,0
0,80,80,0
0,79,80,0
0,80,80,0
0,80,77,0
0,80,70,0
0,80,80,0
0,80,80,0
0,80,80,0
0,80,77,0
0,80,80,0
0,80,75,0
0,80,79,0
0,82,77,0
0,80,74,0
0,80,74,0
0,80,79,0
0,82,70,0
0,90,71,0
0,80,74,0
0,81,77,0
0,81,75,0
0,81,75,0
0,81,75,0
0,82,77,0
0,80,78,0
0,81,75,0
0,81,77,0
0,80,79,0
0,80,78,0
0,102,79,0
0,80,80,0
0,81,80,0
0,81,80,0
0,80,80,0
0,81,80,0
0,80,78,0
0,82,80,0
0,80,79,0
0,81,80,0
0,81,79,0
0,88,79,0
0,81,79,0
0,80,78,0
0,80,79,0
0,81,79,0
0,82,77,0
0,83,80,0
0,82,79,0
0,81,76,0
0,81,65,0
0,83,71,0
0,81,74,0
0,83,74,0
0,82,74,0
0,82,74,0
0,81,71,0
0,82,73,0
0,82,74,0
0,83,74,0
0,83,78,0
0,81,78,0
0,80,75,0
0,77,64,0
0,79,71,0
0,79,75,0
0,61,68,0
0,77,64,0
0,77,64,0
0,79,70,0
0,80,70,0
0,83,98,0
0,84,125,0
0,71,136,0
0,70,139,0
0,70,142,0
0,76,142,0
0,74,143,0
0,76,144,0
0,77,143,0
0,75,143,0
0,77,142,0
0,77,142,0
0,75,114,0
0,79,44,0
0,79,21,0
0,77,20,0
0,80,29,0
0,70,23,0
0,79,15,0
0,78,26,0
0,79,30,0
0,78,27,0
0,80,27,0
0,80,34,0
0,81,34,0
0,80,35,0
0,80,32,0
0,79,34,0
0,82,32,0
0,80,35,0
0,80,36,0
0,80,31,0
0,80,33,0
0,80,34,0
0,80,27,0
0,80,36,0
0,80,38,0
0,81,36,0
0,81,42,0
0,80,46,0
0,81,45,0
0,80,48,0
0,80,49,0
0,81,55,0
0,80,48,0
0,80,48,0
0,80,46,0
0,82,53,0
0,82,51,0
0,81,51,0
0,82,48,0
0,80,46,0
0,81,49,0
0,81,58,0
0,80,48,0
0,82,51,0
0,81,61,0
0,82,57,0
0,80,53,0
0,82,61,0
0,81,51,0
0,80,58,0
0,80,57,0
0,81,53,0
0,83,49,0
0,81,54,0
0,81,53,0
0,82,51,0
0,81,57,0
0,82,60,0
0,80,57,0
0,80,55,0
0,80,54,0
0,83,49,0
0,81,57,0
0,82,54,0
0,82,59,0
0,81,58,0
0,81,58,0
0,82,55,0
0,81,64,0
0,81,58,0
0,83,60,0
0,83,63,0
0,102,59,0
0,84,61,0
0,82,61,0
0,82,61,0
0,82,61,0
0,84,61,0
0,83,61,0
0,82,54,0
0,82,55,0
0,81,55,0
0,83,61,0
0,81,58,0
0,82,59,0
0,81,58,0
0,83,59,0
0,85,59,0
0,81,55,0
0,82,48,0
0,83,55,0
0,81,53,0
0,81,58,0
0,82,62,0
0,80,61,0
0,81,61,0
0,81,60,0
0,80,64,0
0,80,47,0
0,81,59,0
0,80,64,0
0,64,62,0
0,82,63,0
0,81,61,0
0,80,62,0
0,82,65,0
0,83,64,0
0,82,64,0
0,81,64,0
0,80,62,0
0,81,54,0
0,81,65,0
0,81,66,0
0,82,65,0
0,82,67,0
0,81,66,0
0,81,64,0
0,80,65,0
0,81,64,0
0,85,65,0
0,83,67,0
0,83,75,0
0,81,69,0
0,82,67,0
0,83,64,0
0,83,80,0
0,82,80,0
0,81,80,0
0,82,78,0
0,83,78,0
0,82,64,0
0,81,71,0
0,80,67,0
0,82,71,0
0,82,71,0
0,82,69,0
0,82,77,0
0,81,79,0
0,82,79,0
0,82,80,0
0,81,80,0
0,83,80,0
0,83,86,0
0,81,88,0
0,82,89,0
0,81,81,0
0,83,82,0
0,81,80,0
0,75,83,0
0,81,81,0
0,85,84,0
0,82,83,0
0,82,83,0
0,83,80,0
0,80,82,0
0,83,81,0
0,81,80,0
0,83,85,0
0,83,85,0
0,82,80,0
0,82,64,0
0,82,80,0
0,82,78,0
0,83,75,0
0,82,79,0
0,81,77,0
0,81,80,0
0,83,79,0
0,81,80,0
0,82,80,0
0,81,80,0
0,81,82,0
0,82,82,0
0,81,82,0
0,81,83,0
0,83,80,0
0,81,82,0
0,81,80,0
0,83,83,0
0,81,84,0
0,85,82,0
0,82,81,0
0,81,81,0
0,83,80,0
0,83,80,0
0,82,83,0
0,82,82,0
0,83,81,0
0,82,81,0
0,82,81,0
0,83,82,0
0,83,80,0
0,83,84,0
0,81,85,0
0,83,81,0
0,84,83,0
0,82,80,0
0,80,80,0
0,82,80,0
0,83,82,0
0,82,80,0
0,82,82,0
0,81,83,0
0,81,85,0
0,82,84,0
0,82,82,0
0,82,80,0
0,82,80,0
0,82,80,0
0,84,79,0
0,83,80,0
0,82,80,0
0,83,80,0
0,83,81,0
0,81,78,0
0,83,78,0
0,83,80,0
0,81,75,0
0,80,74,0
0,81,77,0
0,82,77,0
0,85,79,0
0,81,79,0
0,81,77,0
0,81,76,0
0,82,67,0
0,81,67,0
0,80,66,0
0,79,65,0
0,80,67,0
0,79,70,0
0,80,71,0
0,80,73,0
0,74,67,0
0,79,71,0
0,78,71,0
0,79,68,0
0,80,73,0
0,79,70,0
0,80,71,0
0,80,70,0
0,80,71,0
0,80,74,0
0,81,74,0
0,83,76,0
